t_rel_enter_s,belt_bpm_ffill,radar_bpm_1hz,radar_valid_1hz,Peak_To_Noise,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Sweep_Energy_STD,phase_1hz
49.0,20.94,18.988630972819017,True,24.14927060607181,1.187471305838573,2046.7971675537215,3.9583654924419545,33000.87414173225,eval
50.0,20.94,19.065028893790423,True,35.431376393656095,1.1520637444806063,2134.5059167790205,3.8723998231595638,77590.29116945612,eval
51.0,20.94,19.223396184406234,True,26.38952204072706,1.1098673959397454,2113.3594692474603,3.52969510604754,44478.87178912152,eval
52.0,20.94,19.6053364547653,True,17.073853268799247,1.0443321537522472,2001.3976723962421,3.451781885832032,24751.926320847415,eval
53.0,20.94,20.242064475737706,True,20.549026040536802,1.0539422786852228,1829.9098992705144,3.7156325296705104,25493.14970346795,eval
54.0,20.94,20.779900842553197,True,10.262370564414745,1.180503657724286,1636.020262415093,3.777728600453723,11856.81739543771,eval
55.0,20.94,21.368031775411687,True,19.913540568524013,1.2428783672711647,1475.2754874569328,3.896150760095853,28428.245859623305,eval
56.0,20.94,21.75575109613526,True,21.004285599570238,1.1420270106587573,1404.8410998609033,3.887681512796793,28838.478535116737,eval
57.0,20.83,22.014200522848284,True,15.343471576248803,1.06938859674264,1412.6625427901768,4.004289525817249,18734.923242919685,eval
58.0,20.83,21.99447910254137,True,23.862651073154666,1.0703368846619297,1532.5844998225766,3.9317852332383776,35221.73841764198,eval
59.0,20.83,21.740939288330413,True,34.4082499332359,1.12295706632472,1688.2916475868271,3.8092792594100464,58686.68941988804,eval
60.0,20.83,21.463071972024178,True,24.006488124010936,1.1726363035421687,1792.7044290042952,3.7297594728559824,38409.13565402388,eval
61.0,20.83,21.28042022528545,True,13.42002645493264,1.2112834734156919,1838.066264048633,3.9141386206149584,15742.46728959651,eval
62.0,20.83,21.251309886983798,True,17.85624136520839,1.2412974568075241,1831.6650114234562,4.1973671420150644,22414.598590139998,eval
63.0,20.83,21.39646871586483,True,15.051094262277367,1.1972306468073444,1813.585955980578,4.030005860042933,15214.090390944837,eval
64.0,20.83,21.70428529410693,True,16.54382873620854,1.1272074118672921,1793.2125740682814,4.15475661807832,16556.958242625005,eval
65.0,20.83,21.97696040213006,True,40.97418437678009,1.0615826656366538,1782.3642322605049,4.2858621620473105,98718.99995181069,eval
66.0,20.83,22.104776837270784,True,26.84442918974471,1.0342475305332646,1794.671368130652,4.622984386656594,42618.43431892869,eval
